"";"1 a 3 vezes";"4 a 6 vezes";"7 ou mais vezes";"Nenhuma"
"1 a 3 anos";8373;26637;37063;2651
"12 anos ou mais";4104;32421;143477;1780
"4 a 7 anos";34580;117991;183536;8861
"8 a 11 anos";42422;211481;477258;11297
"Nenhum";2351;5675;6370;1059
