"";"1 a 3 vezes";"4 a 6 vezes";"7 ou mais vezes";"Nenhuma"
"Casada";11602;90137;307171;4614
"Separada judicialmente";500;2471;7193;147
"Solteira";57971;216089;362545;16061
"União consensual";21941;85895;170580;5133
"Viúva";224;872;1909;83
